Type,Size,Algorithm,Threshold,Time(ms)
Random,500,MergeSort,0,0
Random,500,MergeHybrid,5,0
Random,500,MergeHybrid,10,0
Random,500,MergeHybrid,20,0
Random,500,MergeHybrid,30,0
Random,500,MergeHybrid,50,0
Random,1000,MergeSort,0,0
Random,1000,MergeHybrid,5,0
Random,1000,MergeHybrid,10,0
Random,1000,MergeHybrid,20,0
Random,1000,MergeHybrid,30,0
Random,1000,MergeHybrid,50,0
Random,1500,MergeSort,0,1
Random,1500,MergeHybrid,5,0
Random,1500,MergeHybrid,10,0
Random,1500,MergeHybrid,20,0
Random,1500,MergeHybrid,30,0
Random,1500,MergeHybrid,50,0
Random,2000,MergeSort,0,1
Random,2000,MergeHybrid,5,0
Random,2000,MergeHybrid,10,0
Random,2000,MergeHybrid,20,0
Random,2000,MergeHybrid,30,0
Random,2000,MergeHybrid,50,0
Random,2500,MergeSort,0,2
Random,2500,MergeHybrid,5,1
Random,2500,MergeHybrid,10,0.5
Random,2500,MergeHybrid,20,0
Random,2500,MergeHybrid,30,0
Random,2500,MergeHybrid,50,0
Random,3000,MergeSort,0,2
Random,3000,MergeHybrid,5,1
Random,3000,MergeHybrid,10,1
Random,3000,MergeHybrid,20,1
Random,3000,MergeHybrid,30,1
Random,3000,MergeHybrid,50,1
Random,3500,MergeSort,0,2
Random,3500,MergeHybrid,5,1
Random,3500,MergeHybrid,10,1
Random,3500,MergeHybrid,20,1
Random,3500,MergeHybrid,30,1
Random,3500,MergeHybrid,50,1
Random,4000,MergeSort,0,3
Random,4000,MergeHybrid,5,2
Random,4000,MergeHybrid,10,1
Random,4000,MergeHybrid,20,1
Random,4000,MergeHybrid,30,1
Random,4000,MergeHybrid,50,1
Random,4500,MergeSort,0,3.5
Random,4500,MergeHybrid,5,2
Random,4500,MergeHybrid,10,1
Random,4500,MergeHybrid,20,1
Random,4500,MergeHybrid,30,1
Random,4500,MergeHybrid,50,1
Random,5000,MergeSort,0,4
Random,5000,MergeHybrid,5,2
Random,5000,MergeHybrid,10,2
Random,5000,MergeHybrid,20,1.5
Random,5000,MergeHybrid,30,1.5
Random,5000,MergeHybrid,50,1
Random,5500,MergeSort,0,4
Random,5500,MergeHybrid,5,2.5
Random,5500,MergeHybrid,10,2
Random,5500,MergeHybrid,20,2
Random,5500,MergeHybrid,30,2
Random,5500,MergeHybrid,50,1.5
Random,6000,MergeSort,0,5
Random,6000,MergeHybrid,5,3
Random,6000,MergeHybrid,10,2
Random,6000,MergeHybrid,20,2
Random,6000,MergeHybrid,30,2
Random,6000,MergeHybrid,50,2
Random,6500,MergeSort,0,5
Random,6500,MergeHybrid,5,3
Random,6500,MergeHybrid,10,3
Random,6500,MergeHybrid,20,2
